16,0.0726491,0.0726491,0.0125959,0.0125959,0.00915114,0.00393765,0.00393765,0.00393765
16.5,0.364365,0.364365,0.135422,0.135422,0.0900601,0.0633533,0.0621711,0.0621652
17,0.467334,0.467334,0.252251,0.252251,0.183669,0.131802,0.130176,0.122538
17.5,2.38178,2.38178,1.45511,1.45511,1.04213,0.79712,0.766762,0.718316
18,9.28787,9.28787,6.4066,6.4066,5.06568,3.99408,3.8232,3.30478
18.5,10.2594,10.2594,7.70912,7.709,6.46039,5.39196,5.12206,4.35873
19,12.6372,12.6372,9.74862,9.67059,8.73307,7.42074,7.15288,6.08895
19.5,24.447,24.447,20.1416,19.7588,17.9609,15.6089,15.2121,13.4796
20,20.2941,20.2941,17.3873,16.6622,15.3925,13.1391,12.8027,11.1812
20.5,30.5929,30.5929,26.699,25.0774,23.5718,21.6381,20.8671,18.9011
21,36.7718,36.7718,32.6051,27.8294,26.2121,24.6395,23.5235,21.8502
