16,0.0727704,0.0727704,0.0100776,0.0100776,0.00686927,0.00503672,0.00503672,0.00503672
16.5,0.444123,0.444123,0.16137,0.16137,0.0966171,0.0784068,0.074924,0.0740628
17,0.527836,0.527836,0.255561,0.255561,0.181761,0.140932,0.139172,0.134134
17.5,2.50493,2.50493,1.49592,1.49592,1.17179,0.929212,0.905966,0.824649
18,9.08176,9.08176,6.22809,6.22809,5.1967,4.36078,4.2077,3.67165
18.5,10.5083,10.5083,8.17836,8.13472,7.13591,6.19759,6.02704,5.26416
19,11.9688,11.9688,9.55156,9.43586,8.62416,7.81565,7.62247,6.79982
19.5,24.564,24.564,20.2762,19.6967,18.4896,16.914,16.2894,14.4472
20,21.113,21.113,18.2093,17.5088,16.1992,14.9794,14.6247,12.6003
20.5,27.4897,27.4897,23.609,21.8485,20.7337,18.9689,18.382,16.9577
21,38.7893,38.7893,33.6099,29.0389,27.6095,25.8018,25.3896,23.4587
