16,0.0647105,0.0647105,0.00992314,0.00992314,0.00250909,0.00179151,0.00179151,0.00179151
16.5,0.402757,0.402757,0.130506,0.130506,0.0788374,0.0675192,0.0675191,0.0655642
17,0.502144,0.502144,0.239962,0.239962,0.150674,0.136612,0.134933,0.127771
17.5,2.65602,2.65602,1.5376,1.5376,1.03637,0.935613,0.904854,0.83312
18,8.24836,8.24836,5.65695,5.65695,4.15764,3.82788,3.72096,3.29297
18.5,10.1174,10.1174,7.61601,7.59899,5.99408,5.66154,5.53536,4.61539
19,13.1139,13.1139,10.5993,10.5107,9.25426,8.81514,8.48606,7.24042
19.5,23.5824,23.5824,19.1703,18.7525,16.3433,15.2857,14.7975,12.6145
20,20.259,20.259,16.9164,15.838,14.389,13.8261,13.3595,11.6518
20.5,30.3644,30.3644,26.017,24.2193,22.0363,21.1017,20.2938,17.3503
21,44.2226,44.2226,37.5927,32.3992,29.4783,27.7376,26.5961,24.0735
