16,0.0716241,0.0716241,0.0118725,0.0118725,0.00688001,0.00495177,0.00495177,0.00495177
16.5,0.399038,0.399038,0.143991,0.143991,0.0874667,0.0667319,0.0636575,0.0629145
17,0.487291,0.487291,0.253808,0.253808,0.186786,0.144698,0.142587,0.134985
17.5,2.47239,2.47239,1.51668,1.51668,1.16475,0.912469,0.878267,0.81653
18,9.46978,9.46978,6.50836,6.50836,5.44976,4.59215,4.49469,4.05945
18.5,10.3983,10.3983,8.21689,8.20223,7.25169,6.07899,5.92875,5.21074
19,11.6854,11.6854,9.10761,9.02989,8.25985,7.42126,7.26357,6.60504
19.5,23.9986,23.9986,19.9581,19.5215,18.1908,16.3519,15.8864,14.4221
20,22.2267,22.2267,19.9293,18.7347,17.5211,16.01,15.7357,14.6685
20.5,30.2322,30.2322,26.8583,24.5917,23.2757,21.9165,21.207,19.7391
21,38.2515,38.2515,33.6075,29.532,27.7109,25.8097,24.9741,23.9294
