time, volts 
5.81994 , 0.699365
6.04695 , -0.300635
6.1694 , -5.30064
6.35988 , 7.69936
6.7811 , 32.6994
6.97171 , 34.6994
7.37024 , 6.69936
7.53645 , -6.30064
7.95506 , -94.3006
8.14882 , -44.3006
8.55807 , -25.3006
8.75324 , -13.3006
9.1727 , -7.30064
9.37639 , 3.69936
9.76486 , 26.6994
9.94692 , 34.6994
10.3165 , 37.6994
10.5758 , 24.6994
10.9835 , -2.30064
11.1971 , -0.300635
11.6326 , -20.3006
11.8437 , -20.3006
12.2321 , -36.3006
12.4232 , -45.3006
12.793 , -25.3006
13.0438 , 7.69936
13.4559 , 37.6994
13.6874 , 51.6994
14.1049 , 48.6994
14.3456 , 19.6994
14.768 , -40.3006
15.0019 , -56.3006
15.4174 , -92.3006
15.6625 , -66.3006
16.0842 , -71.3006
16.2908 , -42.3006
16.6949 , 8.69936
16.9499 , 29.6994
17.3488 , 40.6994
17.5528 , 51.6994
17.9508 , 31.6994
18.2128 , 28.6994
18.6073 , 5.69936
18.8342 , -1.30064
19.2453 , -44.3006
19.5066 , -40.3006
19.892 , -59.3006
20.1793 , -60.3006
20.6122 , -32.3006
20.8818 , -7.30064
21.2828 , 20.6994
21.5213 , 15.6994
21.9184 , 4.69936
22.1649 , 3.69936
22.6082 , 2.69936
22.8658 , -1.30064
23.3174 , 8.69936
23.5835 , 14.6994
24.0358 , 6.69936
24.2664 , 0.699365
24.6899 , -4.30064
24.9584 , -0.300635
25.3721 , 2.69936
25.6436 , 4.69936
26.0457 , -19.3006
26.2415 , -29.3006
26.6656 , -85.3006
26.9019 , -76.3006
27.3178 , -9.30064
27.6151 , 18.6994
28.0532 , 11.6994
28.3479 , 5.69936
28.7817 , 17.6994
29.0454 , 28.6994
29.4204 , 41.6994
29.6919 , 27.6994
30.1108 , 2.69936
30.3791 , -6.30064
30.7882 , -13.3006
31.0411 , -7.30064
31.4585 , -14.3006
31.6858 , -22.3006
32.0799 , -46.3006
32.3383 , -43.3006
32.7785 , -60.3006
33 , -39.3006
33.404 , 12.6994
33.6522 , 32.6994
34.043 , 55.6994
34.3153 , 34.6994
34.7274 , 3.69936
34.9656 , 2.69936
35.3875 , -6.30064
35.6226 , -14.3006
36.0004 , -23.3006
36.2333 , -5.30064
36.6683 , 10.6994
36.8874 , 0.699365
37.3247 , 2.69936
37.5194 , -4.30064
37.9315 , -3.30064
38.1478 , -2.30064
38.5258 , -14.3006
38.716 , -4.30064
39.1461 , -12.3006
39.3916 , -12.3006
39.8437 , -51.3006
40.0324 , -94.3006
40.4693 , -0.300635
40.6834 , 70.6994
41.0767 , 226.699
41.2768 , 262.699
41.7161 , 130.699
41.9257 , -120.301
42.3213 , -507.301
42.524 , -548.301
42.9371 , -216.301
43.103 , -114.301
43.4527 , 333.699
43.6534 , 422.699
44.0305 , 559.699
44.2641 , 637.699
44.6356 , 508.699
44.8513 , 446.699
45.2726 , 37.6994
45.4722 , -322.301
45.8199 , -600.301
46.047 , -656.301
46.1694 , -694.301
46.3599 , -478.301
46.7811 , -78.3006
46.9717 , 25.6994
47.3702 , 496.699
47.5365 , 674.699
47.9551 , 794.699
48.1488 , 715.699
48.5581 , 663.699
48.7532 , 420.699
49.1727 , -196.301
49.3764 , -529.301
49.7649 , -685.301
49.9469 , -652.301
50.3165 , -429.301
50.5758 , -281.301
50.9835 , -23.3006
51.1971 , 30.6994
51.6326 , 68.6994
51.8437 , 84.6994
52.2321 , 50.6994
52.4232 , 50.6994
52.793 , 135.699
53.0438 , 227.699
53.4559 , 241.699
53.6874 , 189.699
54.1049 , 38.6994
54.3456 , -4.30064
54.768 , -136.301
55.0019 , -140.301
55.4174 , -194.301
55.6625 , -213.301
56.0842 , -259.301
56.2908 , -229.301
56.6949 , -127.301
56.9499 , -39.3006
57.3488 , 7.69936
57.5528 , 25.6994
57.9508 , 64.6994
58.2128 , 100.699
58.6073 , 116.699
58.8342 , 133.699
59.2453 , 96.6994
59.5066 , 60.6994
59.892 , 14.6994
60.1793 , -9.30064
60.6122 , -88.3006
60.8818 , -89.3006
61.2828 , -118.301
61.5213 , -113.301
61.9184 , -128.301
62.1649 , -114.301
62.6082 , -84.3006
62.8658 , -72.3006
63.3174 , -9.30064
63.5835 , -3.30064
64.0358 , -17.3006
64.2664 , -9.30064
64.6899 , 18.6994
64.9584 , 38.6994
65.3721 , 64.6994
65.6436 , 83.6994
66.0457 , 64.6994
66.2415 , 62.6994
66.6656 , 107.699
66.9019 , 76.6994
67.3178 , -31.3006
67.6151 , -111.301
68.0532 , -193.301
68.3479 , -158.301
68.7817 , -192.301
69.0454 , -178.301
69.4204 , -138.301
69.6919 , -122.301
70.1108 , -67.3006
70.3791 , -25.3006
70.7882 , 70.6994
71.0411 , 118.699
71.4585 , 157.699
71.6858 , 162.699
72.0799 , 163.699
72.3383 , 158.699
72.7785 , 70.6994
73 , 77.6994
73.404 , 32.6994
73.6522 , -49.3006
74.043 , -166.301
74.3153 , -196.301
74.7274 , -186.301
74.9656 , -216.301
75.3875 , -218.301
75.6226 , -172.301
76.0004 , -70.3006
76.2333 , -24.3006
76.6683 , 36.6994
76.8874 , 68.6994
77.3247 , 126.699
77.5194 , 130.699
77.9315 , 128.699
78.1478 , 119.699
78.5258 , 96.6994
78.716 , 87.6994
79.1461 , 44.6994
79.3916 , 30.6994
79.8437 , -36.3006
80.0324 , -109.301
80.4693 , -155.301
80.6834 , -155.301
81.0767 , -151.301
81.2768 , -145.301
81.7161 , -129.301
81.9257 , -97.3006
82.3213 , -24.3006
82.524 , -16.3006
82.9371 , 5.69936
83.103 , 20.6994
83.4527 , 47.6994
83.6534 , 52.6994
84.0305 , 68.6994
84.2641 , 68.6994
84.6356 , 84.6994
84.8513 , 79.6994
85.2726 , 76.6994
85.4722 , 70.6994
85.8199 , 58.6994
86.047 , 28.6994
86.1694 , -6.30064
86.3599 , -6.30064
86.7811 , -39.3006
86.9717 , -41.3006
87.3702 , -125.301
87.5365 , -82.3006
87.9551 , -136.301
88.1488 , -64.3006
88.5581 , -73.3006
88.7532 , -55.3006
89.1727 , -17.3006
89.3764 , 21.6994
89.7649 , 40.6994
89.9469 , 42.6994
90.3165 , 65.6994
90.5758 , 59.6994
90.9835 , 84.6994
91.1971 , 49.6994
91.6326 , 65.6994
91.8437 , 43.6994
92.2321 , 28.6994
92.4232 , 17.6994
92.793 , 8.69936
93.0438 , 0.699365
93.4559 , -19.3006
93.6874 , -40.3006
94.1049 , -99.3006
94.3456 , -72.3006
94.768 , -117.301
95.0019 , -118.301
95.4174 , -101.301
95.6625 , -45.3006
96.0842 , 7.69936
96.2908 , 14.6994
96.6949 , 22.6994
96.9499 , 26.6994
97.3488 , 27.6994
97.5528 , 34.6994
97.9508 , 35.6994
98.2128 , 46.6994
98.6073 , 43.6994
98.8342 , 34.6994
99.2453 , 12.6994
99.5066 , 3.69936
99.892 , -4.30064
100.179 , -13.3006
100.612 , -88.3006
100.882 , -97.3006
101.283 , -106.301
101.521 , -86.3006
101.918 , -80.3006
102.165 , -76.3006
102.608 , -33.3006
102.866 , -23.3006
103.317 , 20.6994
103.584 , 33.6994
104.036 , 32.6994
104.266 , 33.6994
104.69 , 24.6994
104.958 , 21.6994
105.372 , 19.6994
105.644 , 29.6994
106.046 , 30.6994
106.242 , 10.6994
106.666 , -62.3006
106.902 , -46.3006
107.318 , 0.699365
107.615 , -3.30064
108.053 , -81.3006
108.348 , -68.3006
108.782 , -55.3006
109.045 , -45.3006
109.42 , -25.3006
109.692 , -24.3006
110.111 , 16.6994
110.379 , 43.6994
110.788 , 35.6994
111.041 , 31.6994
111.459 , 18.6994
111.686 , 23.6994
112.08 , 50.6994
112.338 , 62.6994
112.779 , 47.6994
113 , 47.6994
113.404 , 16.6994
113.652 , -2.30064
114.043 , -15.3006
114.315 , -13.3006
114.727 , -32.3006
114.966 , -29.3006
115.388 , -49.3006
115.623 , -63.3006
116 , -74.3006
116.233 , -77.3006
116.668 , -41.3006
116.887 , 6.69936
117.325 , 46.6994
117.519 , 63.6994
117.931 , 33.6994
118.148 , 46.6994
118.526 , 39.6994
118.716 , 53.6994
119.146 , 36.6994
119.392 , 34.6994
119.844 , 17.6994
120.032 , 19.6994
120.469 , -1.30064
120.683 , -14.3006
121.077 , -12.3006
121.277 , -26.3006
121.716 , -36.3006
121.926 , -34.3006
122.321 , -13.3006
122.524 , 2.69936
122.937 , -6.30064
123.103 , -14.3006
123.453 , -6.30064
123.653 , 5.69936
124.03 , 7.69936
124.264 , -23.3006
124.636 , -53.3006
124.851 , -31.3006
125.273 , 38.6994
125.472 , 46.6994
125.82 , 28.6994
126.047 , 28.6994
126.169 , 22.6994
126.36 , 19.6994
126.781 , 28.6994
126.972 , 18.6994
127.37 , 8.69936
127.536 , 13.6994
127.955 , 7.69936
128.149 , -2.30064
128.558 , -20.3006
128.753 , -9.30064
129.173 , -36.3006
129.376 , -74.3006
129.765 , -73.3006
129.947 , -73.3006
130.316 , -2.30064
130.576 , 21.6994
130.984 , 27.6994
131.197 , 14.6994
131.633 , 15.6994
131.844 , 26.6994
132.232 , 25.6994
132.423 , 19.6994
132.793 , 30.6994
133.044 , 22.6994
133.456 , 8.69936
133.687 , 11.6994
134.105 , 12.6994
134.346 , 9.69936
134.768 , -0.300635
135.002 , -1.30064
135.417 , -28.3006
135.662 , -12.3006
136.084 , -15.3006
136.291 , -13.3006
136.695 , -19.3006
136.95 , -10.3006
137.349 , -10.3006
137.553 , -10.3006
137.951 , -11.3006
138.213 , 5.69936
138.607 , 13.6994
138.834 , 18.6994
139.245 , 47.6994
139.507 , 17.6994
139.892 , -0.300635
140.179 , -0.300635
140.612 , 21.6994
140.882 , 31.6994
141.283 , 26.6994
141.521 , -16.3006
141.918 , -40.3006
142.165 , -17.3006
142.608 , 17.6994
142.866 , 10.6994
143.317 , 7.69936
143.584 , 5.69936
144.036 , -11.3006
144.266 , -8.30064
144.69 , -15.3006
144.958 , -14.3006
145.372 , -15.3006
145.644 , -6.30064
146.046 , 14.6994
146.242 , 28.6994
146.666 , 47.6994
146.902 , 29.6994
147.318 , 16.6994
147.615 , 37.6994
148.053 , 50.6994
148.348 , 39.6994
148.782 , 13.6994
149.045 , 1.69936
149.42 , -23.3006
149.692 , -50.3006
150.111 , -87.3006
150.379 , -47.3006
150.788 , -2.30064
151.041 , 18.6994
151.459 , 31.6994
151.686 , 41.6994
152.08 , 36.6994
152.338 , 13.6994
152.779 , -8.30064
153 , -4.30064
153.404 , -25.3006
153.652 , -25.3006
154.043 , 1.69936
154.315 , 14.6994
154.727 , 16.6994
154.966 , 17.6994
155.388 , 7.69936
155.623 , 2.69936
156 , 5.69936
156.233 , 23.6994
156.668 , 25.6994
156.887 , 16.6994
157.325 , -2.30064
157.519 , -39.3006
157.931 , -6.30064
158.148 , 12.6994
158.526 , 11.6994
158.716 , -5.30064
159.146 , -38.3006
159.392 , -36.3006
159.844 , -35.3006
160.032 , -31.3006
160.469 , -3.30064
160.683 , 11.6994
161.077 , 37.6994
161.277 , 37.6994
161.716 , 22.6994
161.926 , 5.69936
162.321 , -22.3006
162.524 , -5.30064
162.937 , 12.6994
163.103 , 12.6994
163.453 , 3.69936
163.653 , 9.69936
164.03 , 34.6994
164.264 , 31.6994
164.636 , 11.6994
164.851 , -9.30064
165.273 , -32.3006
165.472 , -30.3006
165.82 , -24.3006
166.047 , -24.3006
166.169 , -28.3006
166.36 , -18.3006
166.781 , -18.3006
166.972 , -11.3006
167.37 , -5.30064
167.536 , 9.69936
167.955 , 39.6994
168.149 , 26.6994
168.558 , 21.6994
168.753 , 1.69936
169.173 , -3.30064
169.376 , 13.6994
169.765 , 22.6994
169.947 , 27.6994
170.316 , 18.6994
170.576 , -2.30064
170.984 , -39.3006
171.197 , -6.30064
171.633 , 5.69936
171.844 , -2.30064
172.232 , -37.3006
172.423 , -39.3006
172.793 , -8.30064
173.044 , 2.69936
173.456 , 8.69936
173.687 , 5.69936
174.105 , -1.30064
174.346 , -0.300635
174.768 , 4.69936
175.002 , 13.6994
175.417 , 10.6994
175.662 , 2.69936
176.084 , 8.69936
176.291 , 5.69936
176.695 , 17.6994
176.95 , 14.6994
177.349 , 12.6994
177.553 , 14.6994
177.951 , -3.30064
178.213 , -7.30064
178.607 , -26.3006
178.834 , -22.3006
179.245 , -20.3006
179.507 , -10.3006
179.892 , -4.30064
180.179 , -7.30064
180.612 , -2.30064
180.882 , 8.69936
181.283 , 12.6994
181.521 , 9.69936
181.918 , 9.69936
182.165 , 9.69936
182.608 , 7.69936
182.866 , 2.69936
183.317 , 2.69936
183.584 , 6.69936
184.036 , -0.300635
184.266 , 3.69936
184.69 , -0.300635
184.958 , -2.30064
185.372 , -0.300635
185.644 , 5.69936
186.046 , 13.6994
186.242 , 7.69936
186.666 , -14.3006
186.902 , -8.30064
187.318 , -18.3006
187.615 , -29.3006
188.053 , -35.3006
188.348 , -10.3006
188.782 , 3.69936
189.045 , 10.6994
189.42 , 18.6994
189.692 , 17.6994
190.111 , -1.30064
190.379 , -18.3006
190.788 , -6.30064
191.041 , 30.6994
191.459 , 51.6994
191.686 , 35.6994
192.08 , -13.3006
192.338 , 0.699365
192.779 , 11.6994
193 , 15.6994
193.404 , -27.3006
193.652 , -45.3006
194.043 , -46.3006
194.315 , -14.3006
194.727 , 8.69936
194.966 , 14.6994
195.388 , 12.6994
195.623 , 8.69936
196 , 10.6994
196.233 , 12.6994
196.668 , -19.3006
196.887 , -22.3006
197.325 , -8.30064
197.519 , 1.69936
197.931 , 22.6994
198.148 , 25.6994
198.526 , 23.6994
198.716 , 29.6994
199.146 , -2.30064
199.392 , -9.30064
199.844 , -21.3006
200.032 , -15.3006
200.469 , -18.3006
200.683 , -7.30064
201.077 , 6.69936
201.277 , 9.69936
201.716 , 9.69936
201.926 , 3.69936
202.321 , -7.30064
202.524 , -10.3006
202.937 , -17.3006
203.103 , -13.3006
203.453 , -10.3006
203.653 , -16.3006
204.03 , -10.3006
204.264 , -0.300635
204.636 , 8.69936
204.851 , 22.6994
205.273 , 30.6994
205.472 , 32.6994
205.82 , 8.69936
206.047 , 13.6994
206.169 , 3.69936
206.36 , 0.699365
206.781 , -10.3006
206.972 , -4.30064
207.37 , -11.3006
207.536 , -0.300635
207.955 , 14.6994
208.149 , 2.69936
208.558 , -9.30064
208.753 , -9.30064
209.173 , -6.30064
209.376 , 0.699365
209.765 , -7.30064
209.947 , -6.30064
210.316 , -12.3006
210.576 , 6.69936
210.984 , 42.6994
211.197 , 47.6994
211.633 , 27.6994
211.844 , 29.6994
212.232 , 21.6994
212.423 , 11.6994
212.793 , -17.3006
213.044 , -26.3006
213.456 , -24.3006
213.687 , -3.30064
214.105 , 21.6994
214.346 , 13.6994
214.768 , 9.69936
215.002 , 7.69936
215.417 , 3.69936
215.662 , 6.69936
216.084 , -14.3006
216.291 , -31.3006
216.695 , -34.3006
216.95 , -5.30064
217.349 , -9.30064
217.553 , -11.3006
217.951 , -22.3006
218.213 , 7.69936
218.607 , 26.6994
218.834 , 29.6994
219.245 , 45.6994
219.507 , 16.6994
219.892 , -3.30064
220.179 , -9.30064
220.612 , -17.3006
220.882 , -19.3006
221.283 , -14.3006
221.521 , -7.30064
221.918 , -2.30064
222.165 , 5.69936
222.608 , 28.6994
222.866 , 12.6994
223.317 , 6.69936
223.584 , 7.69936
224.036 , -5.30064
224.266 , -3.30064
224.69 , -5.30064
224.958 , -10.3006
225.372 , -9.30064
225.644 , -4.30064
226.046 , -4.30064
226.242 , -0.300635
226.666 , 23.6994
226.902 , 29.6994
227.318 , 37.6994
227.615 , 37.6994
228.053 , 8.69936
228.348 , -6.30064
228.782 , -20.3006
229.045 , -12.3006
229.42 , 2.69936
229.692 , 12.6994
230.111 , 13.6994
230.379 , 14.6994
230.788 , 5.69936
231.041 , 7.69936
231.459 , -9.30064
231.686 , -5.30064
232.08 , -22.3006
232.338 , -2.30064
232.779 , 16.6994
233 , 28.6994
233.404 , 16.6994
233.652 , 16.6994
234.043 , 20.6994
234.315 , 20.6994
234.727 , 12.6994
234.966 , -7.30064
235.388 , -35.3006
235.623 , -15.3006
236 , 6.69936
236.233 , 18.6994
236.668 , 20.6994
236.887 , 21.6994
237.325 , 26.6994
237.519 , 10.6994
237.931 , -17.3006
238.148 , -26.3006
238.526 , -28.3006
238.716 , -16.3006
239.146 , 3.69936
239.392 , 26.6994
239.844 , 24.6994
240.032 , 22.6994
240.469 , 14.6994
240.683 , 8.69936
241.077 , -5.30064
241.277 , -18.3006
241.716 , -26.3006
241.926 , -1.30064
242.321 , 25.6994
242.524 , 40.6994
242.937 , 30.6994
243.103 , 14.6994
243.453 , -1.30064
243.653 , -4.30064
244.03 , -0.300635
244.264 , -1.30064
244.636 , -6.30064
244.851 , 5.69936
245.273 , 5.69936
245.472 , -3.30064
245.82 , 5.69936
246.047 , 19.6994
246.169 , 12.6994
246.36 , 2.69936
246.781 , -15.3006
246.972 , 0.699365
247.37 , -0.300635
247.536 , 1.69936
247.955 , -7.30064
248.149 , -1.30064
248.558 , 13.6994
248.753 , 4.69936
249.173 , -2.30064
249.376 , 2.69936
249.765 , -0.300635
249.947 , 5.69936
250.316 , 20.6994
250.576 , 29.6994
250.984 , 27.6994
251.197 , 12.6994
251.633 , -39.3006
251.844 , -14.3006
252.232 , -8.30064
252.423 , -8.30064
252.793 , 1.69936
253.044 , 1.69936
253.456 , 8.69936
253.687 , 7.69936
254.105 , -11.3006
254.346 , -6.30064
254.768 , -0.300635
255.002 , 9.69936
255.417 , 3.69936
255.662 , 0.699365
256.084 , -3.30064
256.291 , -16.3006
256.695 , -23.3006
256.95 , -1.30064
257.349 , 8.69936
257.553 , 13.6994
257.951 , 8.69936
258.213 , 13.6994
258.607 , 13.6994
258.834 , 7.69936
259.245 , 2.69936
259.507 , -14.3006
259.892 , -25.3006
260.179 , -26.3006
260.612 , -10.3006
260.882 , -3.30064
261.283 , -9.30064
261.521 , -3.30064
261.918 , 18.6994
262.165 , 16.6994
262.608 , 7.69936
262.866 , 0.699365
263.317 , 5.69936
263.584 , 0.699365
264.036 , -24.3006
264.266 , -6.30064
264.69 , 22.6994
264.958 , 26.6994
265.372 , 11.6994
265.644 , -3.30064
266.046 , -34.3006
266.242 , -14.3006
266.666 , -15.3006
266.902 , -11.3006
267.318 , 12.6994
267.615 , 17.6994
268.053 , -16.3006
268.348 , -12.3006
268.782 , -0.300635
269.045 , 5.69936
269.42 , 10.6994
269.692 , 1.69936
270.111 , -13.3006
270.379 , -5.30064
270.788 , 10.6994
271.041 , 24.6994
271.459 , 36.6994
271.686 , 34.6994
272.08 , -14.3006
272.338 , -12.3006
272.779 , -14.3006
273 , -8.30064
273.404 , -20.3006
273.652 , -13.3006
274.043 , 14.6994
274.315 , 21.6994
274.727 , 18.6994
274.966 , 8.69936
275.388 , 3.69936
275.623 , 1.69936
276 , -16.3006
276.233 , -19.3006
276.668 , -33.3006
276.887 , -4.30064
277.325 , 21.6994
277.519 , 18.6994
277.931 , 18.6994
278.148 , 30.6994
278.526 , 29.6994
278.716 , 31.6994
279.146 , 11.6994
279.392 , 10.6994
279.844 , -16.3006
280.032 , -21.3006
280.469 , -12.3006
280.683 , -4.30064
281.077 , 8.69936
281.277 , 4.69936
281.716 , -6.30064
281.926 , -2.30064
282.321 , -4.30064
282.524 , -0.300635
282.937 , -10.3006
283.103 , -15.3006
283.453 , -16.3006
283.653 , -16.3006
284.03 , 2.69936
284.264 , 12.6994
284.636 , 23.6994
284.851 , 27.6994
285.273 , 43.6994
285.472 , 25.6994
285.82 , 2.69936
286.047 , -8.30064
286.169 , -27.3006
286.36 , -10.3006
286.781 , 1.69936
286.972 , 3.69936
287.37 , -6.30064
287.536 , -0.300635
287.955 , -1.30064
288.149 , -3.30064
288.558 , -11.3006
288.753 , -11.3006
289.173 , -2.30064
289.376 , 7.69936
289.765 , 15.6994
289.947 , 20.6994
290.316 , 15.6994
290.576 , 0.699365
290.984 , -39.3006
291.197 , -20.3006
291.633 , -1.30064
291.844 , 10.6994
292.232 , 10.6994
292.423 , 3.69936
292.793 , 5.69936
293.044 , 1.69936
293.456 , 2.69936
293.687 , 7.69936
294.105 , 12.6994
294.346 , 4.69936
294.768 , -10.3006
295.002 , -13.3006
295.417 , -72.3006
295.662 , -40.3006
296.084 , -0.300635
296.291 , 11.6994
296.695 , 23.6994
296.95 , 10.6994
297.349 , 2.69936
297.553 , 13.6994
297.951 , 13.6994
298.213 , 18.6994
298.607 , 10.6994
298.834 , -4.30064
299.245 , -60.3006
299.507 , -56.3006
299.892 , -15.3006
300.179 , -16.3006
300.612 , -9.30064
300.882 , 0.699365
301.283 , 25.6994
301.521 , 41.6994
301.918 , 18.6994
302.165 , 11.6994
302.608 , 1.69936
302.866 , -5.30064
303.317 , 8.69936
303.584 , 10.6994
304.036 , -3.30064
304.266 , -4.30064
304.69 , -14.3006
304.958 , -17.3006
305.372 , -19.3006
305.644 , -5.30064
306.046 , -3.30064
306.242 , -3.30064
306.666 , -11.3006
306.902 , -0.300635
307.318 , 11.6994
307.615 , 28.6994
308.053 , 25.6994
308.348 , 21.6994
308.782 , 5.69936
309.045 , 0.699365
309.42 , 6.69936
309.692 , 8.69936
310.111 , 5.69936
310.379 , 1.69936
310.788 , -9.30064
311.041 , -0.300635
311.459 , -4.30064
311.686 , -14.3006
312.08 , -39.3006
312.338 , -7.30064
