16,0.073926,0.073926,0.0120266,0.0120266,0.00448831,0.00319731,0.00319731,0.00319731
16.5,0.388132,0.388132,0.137801,0.137801,0.0751572,0.0663899,0.0652447,0.0652447
17,0.485789,0.485789,0.240334,0.240334,0.131848,0.118058,0.116514,0.113257
17.5,2.42997,2.42997,1.48035,1.48035,0.907733,0.804655,0.770701,0.727861
18,9.43206,9.43206,6.03209,6.03209,4.12555,3.80889,3.72025,3.40963
18.5,10.6817,10.6817,7.67501,7.66599,5.9587,5.47242,5.28649,4.80733
19,12.2391,12.2391,9.5515,9.44694,7.83289,7.34492,7.19787,6.5892
19.5,24.8008,24.8008,19.9007,19.7603,16.6577,15.9993,15.5021,14.0626
20,21.0046,21.0046,17.0317,16.7358,14.402,13.7327,13.5342,12.5955
20.5,33.7706,33.7706,29.4044,28.3141,24.4514,23.9704,23.1296,22.1334
21,36.7024,36.7024,31.7446,29.4494,26.3563,25.4822,25.1749,23.2331
