SNR,C1,C2,C3,C4,C5
8.5,0,0,0,0,0
9.5,0,0.36,0.4,0,0
10.5,0.66,0.7,0.86,0.85,0.57
11.5,0.79,0.78,0.89,0.75,0.78
12.5,0.78,0.81,0.85,0.84,0.73
13.5,0.9,0.88,0.86,0.88,0.77
14.5,0.82,0.82,0.94,0.87,0.71
15.5,0.9,0.83,0.89,0.82,0.83
16.5,0.82,0.76,0.9,0.85,0.78
17.5,0.81,0.87,0.9,0.88,0.81
18.5,0.8,0.79,0.91,0.93,0.76
19.5,0.84,0.82,0.96,0.84,0.87
20.5,0.68,0.75,0.95,0.86,0.88
21.5,0.82,0.85,0.96,0.86,0.89
22.5,0.83,0.8,0.9,0.92,0.85
23.5,0.84,0.92,0.9,0.84,0.76
24.5,0.89,0.93,0.89,0.81,0.76
